location,lat,lon,temperature_C,humidity,pressure,wind_speed,description,timestamp
Ninh Thuan - Po Klong Garai Towers,11.5833,108.9833,25.81,91,1010,1.87,overcast clouds,1762267795
Kon Tum - Wooden Church,14.35,108.0,20.52,97,1012,0.99,moderate rain,1762267797
Kon Tum - Mang Den,14.6167,108.35,18.62,98,1014,1.59,overcast clouds,1762267798
Gia Lai - Kon Ka Kinh National Park,14.3,108.3,18.95,98,1013,1.46,heavy intensity rain,1762267800
Tay Ninh - Ba Den Mountain,11.3667,106.1333,25.6,89,1009,2.5,moderate rain,1762267802
Tay Ninh - Cao Dai Holy See,11.31,106.12,25.6,89,1009,2.44,light rain,1762267804
Binh Duong - Dai Nam Tourist Park,11.0167,106.6833,27.81,88,1009,1.87,overcast clouds,1762267805
Binh Duong - Thu Dau Mot,10.98,106.65,28.01,89,1009,3.6,broken clouds,1762267806
Dong Nai - Cat Tien National Park,11.425,107.4333,23.85,98,1010,0.6,broken clouds,1762267808
Dong Nai - Giang Dien Waterfall,10.9333,107.0167,25.05,90,1009,1.39,overcast clouds,1762267809
Binh Phuoc - Bu Gia Map National Park,12.1333,107.2,21.38,99,1011,1.17,broken clouds,1762267810
Ba Ria - Long Hai Beach,10.4333,107.2333,24.58,89,1010,2.32,overcast clouds,1762267811
Ba Ria - Ho Tram Beach,10.5,107.4,25.21,91,1010,2.31,overcast clouds,1762267813
Binh Thuan - Phan Thiet Center,10.9333,108.1,25.77,88,1010,0.51,overcast clouds,1762267814
Binh Thuan - Ta Cu Mountain,10.8,107.9,25.08,89,1010,1.95,overcast clouds,1762267816
Binh Thuan - Bau Trang Lake,11.15,108.6,25,91,1009,2.47,overcast clouds,1762267818
Lam Dong - Bao Loc City,11.55,107.8333,20.02,99,1012,0.59,overcast clouds,1762267820
Lam Dong - Pongour Waterfall,11.7667,108.35,19.11,97,1012,1.14,broken clouds,1762267821
Lam Dong - Dambri Waterfall,11.5833,107.7833,19.95,99,1012,0.61,overcast clouds,1762267823
Ca Mau - U Minh Ha National Park,8.8333,104.9833,26.02,86,1010,2.46,overcast clouds,1762267824
Ca Mau - Khai Long Beach,8.6333,105.0,27.25,79,1010,3.77,overcast clouds,1762267825
Bac Lieu - Cao Van Lau Theater,9.285,105.724,25.75,89,1010,3.27,overcast clouds,1762267827
Soc Trang - Clay Pagoda,9.6,105.9833,25.15,94,1010,2.54,overcast clouds,1762267746
Tra Vinh - Hang Pagoda,9.9333,106.3333,24.78,95,1010,1.41,overcast clouds,1762267748
Ben Tre - Coconut Village,10.15,106.3833,24.63,95,1009,0.93,moderate rain,1762267830
Tien Giang - Dong Tam Snake Farm,10.35,106.3333,25.26,91,1009,1.24,moderate rain,1762267832
An Giang - Sam Mountain,10.6833,105.0833,26.43,85,1009,1.41,heavy intensity rain,1762267834
Kien Giang - U Minh Thuong National Park,9.7,105.1,26.21,86,1010,2.61,overcast clouds,1762267835
Long An - Tan Lap Floating Village,10.65,105.9333,26.22,87,1009,1.7,moderate rain,1762267836
Long An - Vam Co Dong River,10.7333,106.3,25.77,88,1009,1.99,moderate rain,1762267838
